# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Duct,0,BCEQUETROM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.804347826086956275e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,37,25
# x,y,z,u,w
2.804347826086956275e+01, 4.014626791305657250e+00, -3.381709415057996715e+00, 4.444444444444444198e-01, 2.000000000000000000e+00
2.808565367535932111e+01, 4.092737363566656406e+00, -3.447505632580044832e+00, 4.444444444444444198e-01, 2.057715347438474396e+00
2.823809501456726068e+01, 4.176788411245531130e+00, -3.518305792609041749e+00, 4.444444444444444198e-01, 2.144002212038446320e+00
2.850474303975241597e+01, 4.262132986507123356e+00, -3.590195551904049154e+00, 4.444444444444444198e-01, 2.276535875536843889e+00
2.891040353619187897e+01, 4.328792196702250905e+00, -3.646345747285941741e+00, 4.444444444444444198e-01, 2.466713227582285839e+00
2.945081802297411144e+01, 4.341465317335723384e+00, -3.657020914267139489e+00, 4.444444444444444198e-01, 2.714565234557309914e+00
3.006381579322459174e+01, 4.259496298436568296e+00, -3.587974545236112256e+00, 4.444444444444444198e-01, 3.000000000000000000e+00
3.063610944426656602e+01, 4.072182380706125038e+00, -3.430191201456247008e+00, 4.444444444444444198e-01, 3.285434765442690974e+00
3.110414969852077860e+01, 3.864131442745874168e+00, -3.254940087894329093e+00, 4.444444444444444198e-01, 3.533286772417714161e+00
3.145783938880834185e+01, 3.697445916317159575e+00, -3.114533010629106702e+00, 4.444444444444444198e-01, 3.723464124463156111e+00
3.170806691422859558e+01, 3.586089570202939392e+00, -3.020732310425430001e+00, 4.444444444444444198e-01, 3.855997787961553236e+00
3.187541754711798347e+01, 3.519781281736531486e+00, -2.964877712959768985e+00, 4.444444444444444198e-01, 3.942284652561525604e+00
3.198270935857755859e+01, 3.483478495115635898e+00, -2.934298164301698542e+00, 4.444444444444444198e-01, 4.000000000000000000e+00
3.198270935857755859e+01, 2.934298164301698542e+00, -3.483478495115635898e+00, 5.555555555555555802e-01, 0.000000000000000000e+00
3.188023793288285646e+01, 2.957794748114693562e+00, -3.511372676224094214e+00, 5.555555555555555802e-01, 5.771534743847431259e-02
3.171500293799123682e+01, 2.994385525083044453e+00, -3.554811746676962869e+00, 5.555555555555555802e-01, 1.440022120384465143e-01
3.146038941854134663e+01, 3.049030148617726255e+00, -3.619683603692915419e+00, 5.555555555555555802e-01, 2.765358755368439447e-01
3.109352616458856033e+01, 3.124455885924333653e+00, -3.709225947099703546e+00, 5.555555555555555802e-01, 4.667132275822860055e-01
3.061214833015359460e+01, 3.215891733592540547e+00, -3.817774837226098228e+00, 5.555555555555555802e-01, 7.145652345573094699e-01
3.005016437309875954e+01, 3.302396938797362402e+00, -3.920470270741551744e+00, 5.555555555555555802e-01, 1.000000000000000000e+00
2.947626490652759657e+01, 3.345751918602636987e+00, -3.971939525517774960e+00, 5.555555555555555802e-01, 1.285434765442690752e+00
2.897547307831841579e+01, 3.366783007919415205e+00, -3.996906772628222804e+00, 5.555555555555555802e-01, 1.533286772417713939e+00
2.859051223642776307e+01, 3.372906860365534332e+00, -4.004176759217466852e+00, 5.555555555555555802e-01, 1.723464124463156111e+00
2.832215696408159999e+01, 3.371236486503308427e+00, -4.002193759841787823e+00, 5.555555555555555802e-01, 1.855997787961553458e+00
2.814746594534253177e+01, 3.368963088351818236e+00, -3.999494874749638385e+00, 5.555555555555555802e-01, 1.942284652561525382e+00
2.804347826086956275e+01, 3.381709415057996715e+00, -4.014626791305657250e+00, 5.555555555555555802e-01, 2.000000000000000000e+00
2.808565367535932111e+01, 3.447505632580044832e+00, -4.092737363566656406e+00, 5.555555555555555802e-01, 2.057715347438474396e+00
2.823809501456726068e+01, 3.518305792609041749e+00, -4.176788411245531130e+00, 5.555555555555555802e-01, 2.144002212038446320e+00
2.850474303975241597e+01, 3.590195551904049154e+00, -4.262132986507123356e+00, 5.555555555555555802e-01, 2.276535875536843889e+00
2.891040353619187897e+01, 3.646345747285941741e+00, -4.328792196702250905e+00, 5.555555555555555802e-01, 2.466713227582285839e+00
2.945081802297411144e+01, 3.657020914267139489e+00, -4.341465317335723384e+00, 5.555555555555555802e-01, 2.714565234557309914e+00
3.006381579322459174e+01, 3.587974545236112256e+00, -4.259496298436568296e+00, 5.555555555555555802e-01, 3.000000000000000000e+00
3.063610944426656602e+01, 3.430191201456247008e+00, -4.072182380706125038e+00, 5.555555555555555802e-01, 3.285434765442690974e+00
3.110414969852077860e+01, 3.254940087894329093e+00, -3.864131442745874168e+00, 5.555555555555555802e-01, 3.533286772417714161e+00
3.145783938880834185e+01, 3.114533010629106702e+00, -3.697445916317159575e+00, 5.555555555555555802e-01, 3.723464124463156111e+00
3.170806691422859558e+01, 3.020732310425430001e+00, -3.586089570202939392e+00, 5.555555555555555802e-01, 3.855997787961553236e+00
3.187541754711798347e+01, 2.964877712959768985e+00, -3.519781281736531486e+00, 5.555555555555555802e-01, 3.942284652561525604e+00
3.198270935857755859e+01, 2.934298164301698542e+00, -3.483478495115635898e+00, 5.555555555555555802e-01, 4.000000000000000000e+00
3.198270935857755859e+01, 2.298452975976636559e+00, -3.933086795011917047e+00, 6.666666666666666297e-01, 0.000000000000000000e+00
3.188023793288285646e+01, 2.316857987998689694e+00, -3.964581243887998596e+00, 6.666666666666666297e-01, 5.771534743847431259e-02
3.171500293799123682e+01, 2.345519758380234965e+00, -4.013626941923835290e+00, 6.666666666666666297e-01, 1.440022120384465143e-01
3.146038941854135018e+01, 2.388323212750489866e+00, -4.086871730015708692e+00, 6.666666666666666297e-01, 2.765358755368439447e-01
3.109352616458856033e+01, 2.447404635520238791e+00, -4.187971193939906023e+00, 6.666666666666666297e-01, 4.667132275822860055e-01
3.061214833015359460e+01, 2.519026871713113458e+00, -4.310530356273746477e+00, 6.666666666666666297e-01, 7.145652345573094699e-01
3.005016437309875954e+01, 2.586786906722306156e+00, -4.426480563526066447e+00, 6.666666666666666297e-01, 1.000000000000000000e+00
2.947626490652759657e+01, 2.620747116890844275e+00, -4.484592891933807834e+00, 6.666666666666666297e-01, 1.285434765442690752e+00
